No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
6224,"""Caribou Mountain""",2614,85.35%,16728,"""California,UnitedStates,NorthAmerica"""
6225,"""Peña Vieja""",2613,81.66%,17773,"""Cantabria,Spain,Europe"""
6226,"""Eiskarlspitze""",2613,84.27%,4760,"""Tirol,Austria,Europe"""
6227,"""Park Point""",2613,74.01%,3407,"""Colorado,UnitedStates,NorthAmerica"""
6228,"""Teplitzer Spitze""",2613,84.82%,8260,"""LienzDolomites,Austria,Europe"""
6229,"""Graham Mountain""",2612,84.27%,7962,"""Oregon,UnitedStates,NorthAmerica"""
6230,"""Point 8570 - Ranger Point""",2612,81.18%,4316,"""Montana,UnitedStates,NorthAmerica"""
6231,"""Cima delle Saline""",2612,73.06%,3244,"""Italy,Europe"""
6232,"""Faschaunereck""",2612,80.49%,7487,"""HoheTauern/HafnerGroup,Austria,Europe"""
6233,"""Mount Lincoln (Nevada)""",2612,82.48%,8927,"""Nevada,UnitedStates,NorthAmerica"""
6234,"""Y Mountain""",2612,86.27%,47147,"""Utah,UnitedStates,NorthAmerica"""
6235,"""Pizzo Pioltone(Camoscellahorn)""",2611,82.48%,3950,"""Verbania,Italy,Europe"""
6236,"""Aiguillette du Lauzet""",2611,87.31%,4304,"""Cerces,Briançonnaise,France,"""
6237,"""Elk Peak""",2611,70.83%,4720,"""Montana,UnitedStates,NorthAmerica"""
6238,"""Mount Brown (MT)""",2611,88.19%,32932,"""Montana,UnitedStates,NorthAmerica"""
6239,"""Bunsen Peak""",2610,85.7%,17318,"""Wyoming,UnitedStates,NorthAmerica"""
6240,"""Green Mountain""",2610,82.66%,8100,"""Colorado,UnitedStates,NorthAmerica"""
6241,"""Naviser Sonnenspitze""",2610,86.37%,4936,"""Tirol,Austria,Europe"""
6242,"""Punta Emma""",2610,83.1%,6515,"""Italy,Europe"""
6243,"""Tazizaout""",2610,74.01%,1615,"""Imilchil,Morocco,Africa"""
6244,"""Mount Hopkins""",2609,82.48%,13663,"""Arizona,UnitedStates,NorthAmerica"""
6245,"""Baxter's Pinnacle""",2609,81.84%,19567,"""Wyoming,UnitedStates,NorthAmerica"""
6246,"""Massena Peak""",2609,87.29%,5309,"""MinasGerais,Brazil,SouthAmerica"""
6247,"""Bretterspitze""",2609,79.78%,5079,"""Tirol,Austria,Europe"""
6248,"""Monte Legnone""",2609,81.76%,20094,"""Lombardy,Italy,Europe"""
6249,"""Naturnser Hochwart / Guardia Alta di Naturno""",2608,83.1%,4040,"""Südtirol/AltoAdige,Italy,Europe"""
6250,"""Manakau""",2608,86.85%,12895,"""Canterbury,NewZealand,Oceana"""
6251,"""Hochkalter""",2607,86.37%,22445,"""Bavaria/Salzburg,Germany,Europe"""
6252,"""Chaligne (Croix de Chaligne)""",2607,81.18%,6004,"""AostaValley,Italy,Europe"""
6253,"""China Mountain""",2606,85.87%,16544,"""California,UnitedStates,NorthAmerica"""
6254,"""Onyx Summit Crag""",2606,85.36%,10831,"""California,UnitedStates,NorthAmerica"""
6255,"""North Peak (NV)""",2606,85.36%,7356,"""Nevada,UnitedStates,NorthAmerica"""
6256,"""Taxwil Mountain""",2606,71.06%,628,"""Montana,UnitedStates,NorthAmerica"""
6257,"""Sesques""",2606,74.01%,3566,"""France,Europe"""
6258,"""South Boulder Peak""",2606,88.48%,55398,"""Colorado,UnitedStates,NorthAmerica"""
6259,"""Magee Peak""",2606,86.85%,14648,"""California,UnitedStates,NorthAmerica"""
6260,"""Cima delle Stellune""",2605,87.76%,2674,"""Trento,Italy,Europe"""
6261,"""Quarta Torre di Sella (Fourth Sella Tower)""",2605,86.37%,2631,"""Bolzano,Italy,Europe"""
6262,"""Mount Lady Macdonald""",2605,85.87%,33463,"""Alberta,Canada,NorthAmerica"""
6263,"""Costa Cabirolera""",2604,76.46%,4794,"""Barcelona/Girona,Spain,Europe"""
6264,"""Mohar""",2604,90.13%,6983,"""Carinthia,Austria,Europe"""
6265,"""Bald Mountain - Lander County (NV)""",2604,80.88%,4193,"""Nevada,UnitedStates,NorthAmerica"""
6266,"""Sass dla Luesa""",2603,82.48%,1884,"""Bolzano-AltoAdige,Italy,Europe"""
6267,"""Aiguilles Rouges""",2603,74.65%,5825,"""France,Europe"""
6268,"""Mount Bigelow""",2603,82.48%,21248,"""Arizona,UnitedStates,NorthAmerica"""
6269,"""Hassler's Hatbox""",2603,81.84%,1767,"""Wyoming,UnitedStates,NorthAmerica"""
6270,"""Mount Helen""",2602,88.31%,11668,"""Montana,UnitedStates,NorthAmerica"""
6271,"""Evergreen Mountain""",2602,82.48%,21601,"""Colorado,UnitedStates,NorthAmerica"""
6272,"""Velika Martuljska Ponca""",2602,81.18%,11144,"""JulianAlps,Slovenia,Europe"""
6273,"""Butler Peak""",2601,78.01%,18380,"""California,UnitedStates,NorthAmerica"""
6274,"""Tour des Fous""",2601,86.85%,4235,"""AostaValley,Italy,Europe"""
6275,"""Topo de la Grieta""",2601,76.66%,3253,"""Tenerife,Spain,Africa,Europe"""
6276,"""Picos de Santa Ana""",2601,81.84%,5857,"""CastillayLeon,Spain,Europe"""
6277,"""Pelister""",2601,89.01%,48578,"""BABA,Macedonia,Europe"""
6278,"""Baba""",2601,79.04%,32255,"""Macedonia,Europe"""
6279,"""Razor""",2601,90.13%,33248,"""JulianAlps,Slovenia,Europe"""
6280,"""Castelletto Inferiore di Brenta""",2601,77.78%,11538,"""Trento,Italy,Europe"""
6281,"""Steamboat Mountain""",2601,79.82%,3133,"""Idaho,UnitedStates,NorthAmerica"""
6282,"""Donnelly Peak (NV)""",2601,81.18%,6713,"""Nevada,UnitedStates,NorthAmerica"""
6283,"""Hutch Mountain""",2601,79.78%,19137,"""Arizona,UnitedStates,NorthAmerica"""
6284,"""Lookout Peak""",2600,75.81%,22531,"""California,UnitedStates,NorthAmerica"""
6285,"""Quitor Hill""",2600,87.31%,4717,"""SanPedrodeAtacama,Chile,SouthAmerica"""
6286,"""Silberpfennig""",2600,79.78%,4973,"""Salzburg,Austria,Europe"""
6287,"""San Antonio Mountains HP (NV)""",2600,86.15%,6138,"""Nevada,UnitedStates,NorthAmerica"""
6288,"""Fairview Peak""",2600,71.06%,9027,"""Colorado,UnitedStates,NorthAmerica"""
6289,"""Grand Sentinel""",2600,78.27%,5033,"""Alberta,Canada,NorthAmerica"""
6290,"""Chaos Crags""",2600,86.85%,22555,"""California,UnitedStates,NorthAmerica"""
6291,"""Mars Mont""",2600,85.87%,7542,"""AostaValley,Italy,Europe"""
6292,"""Indian Spring Butte""",2600,86.28%,10165,"""Oregon,UnitedStates,NorthAmerica"""
6293,"""(The) Whaleback""",2599,79.67%,18160,"""California,UnitedStates,NorthAmerica"""
6294,"""Boulder Peak""",2599,86.85%,13430,"""Montana,UnitedStates,NorthAmerica"""
6295,"""Buck Mountain""",2599,80.49%,30547,"""Washington,UnitedStates,NorthAmerica"""
6296,"""Grauspitz""",2599,89.64%,47642,"""Graubunden,Liechtenstein,Switzerland,Europe"""
6297,"""Piz Campasc""",2599,85.36%,2108,"""Graubunden,Switzerland,Europe"""
6298,"""Boeses Weibele (Rosenkoepfl)""",2599,79.78%,10730,"""LienzDolomites,Austria,Europe"""
6299,"""Mount Burgess""",2599,90.81%,18301,"""BritishColumbia,Canada,NorthAmerica"""
6300,"""Gardner Peak""",2598,70.83%,568,"""Utah,UnitedStates,NorthAmerica"""
6301,"""Peak 8,525 (NV)""",2598,80.49%,2142,"""Nevada,UnitedStates,NorthAmerica"""
6302,"""Peak 8525 (Elkhorns)""",2598,85.36%,7208,"""Oregon,UnitedStates,NorthAmerica"""
6303,"""Pic de la Hourquette d'Aubert""",2598,79.04%,3406,"""PyrénéesdeBigorre,France,Europe"""
6304,"""George H Hansen Peak""",2598,89.39%,15610,"""Utah,UnitedStates,NorthAmerica"""
6305,"""Second Sella Tower""",2598,84.82%,16135,"""Dolomites,Italy,Europe"""
6306,"""Snowslide Peak""",2598,81.84%,13636,"""Idaho,UnitedStates,NorthAmerica"""
6307,"""Slide Mountain (STR Range)""",2597,85.26%,7907,"""Oregon,UnitedStates,NorthAmerica"""
6308,"""Totem Peak""",2597,90.13%,10007,"""Montana,UnitedStates,NorthAmerica"""
6309,"""Storm King""",2597,86.37%,20901,"""Washington,UnitedStates,NorthAmerica"""
6310,"""Enchantment Peak""",2597,91.14%,40327,"""Washington,UnitedStates,NorthAmerica"""
6311,"""Witches Tower""",2597,89.39%,27643,"""Washington,UnitedStates,NorthAmerica"""
6312,"""Cathedral Spires""",2597,89.28%,25072,"""Colorado,UnitedStates,NorthAmerica"""
6313,"""Grand Sentinel""",2596,81.18%,13853,"""California,UnitedStates,NorthAmerica"""
6314,"""Oberer Sattelkopf""",2596,83.1%,2369,"""Tirol,Austria,Europe"""
6315,"""Cima delle Murelle""",2596,77.48%,2753,"""Abruzzo,Italy,Europe"""
6316,"""Peña Santa de Castilla""",2596,83.4%,14621,"""León,Spain,Europe"""
6317,"""Point 8517 - Como Point""",2596,89.01%,3829,"""Montana,UnitedStates,NorthAmerica"""
6318,"""Silvertip Mountain""",2596,83.69%,16411,"""BritishColumbia,Canada,NorthAmerica"""
6319,"""Red Pine Mountain (UT)""",2596,87.76%,8337,"""Utah,UnitedStates,NorthAmerica"""
6320,"""Church Dome""",2595,85.36%,12750,"""California,UnitedStates,NorthAmerica"""
6321,"""Aiguille L'Index""",2595,84.27%,27910,"""HauteSavoie,France,Europe"""
6322,"""Potosi Mountain""",2595,89.32%,71493,"""Nevada,UnitedStates,NorthAmerica"""
6323,"""Peak 8514 - Barker Pass""",2595,73.03%,2196,"""California,UnitedStates,NorthAmerica"""
6324,"""Elk Mountain""",2595,73.09%,7712,"""Wyoming,UnitedStates,NorthAmerica"""
6325,"""Trettachspitze""",2595,78.27%,9268,"""Allgaeu,Bavaria,Germany,--"""
6326,"""Reynolds Peak""",2594,82.33%,26306,"""Washington,UnitedStates,NorthAmerica"""
6327,"""South Oregon Butte""",2594,86.85%,4310,"""Wyoming,UnitedStates,NorthAmerica"""
6328,"""Martin Peak""",2594,82.48%,6716,"""Washington,UnitedStates,NorthAmerica"""
6329,"""Altarzinho Peak""",2594,86.85%,3470,"""MinasGerais/Itamonte,Brazil,SouthAmerica"""
6330,"""Bartlett Peak""",2593,73.06%,10011,"""Texas,UnitedStates,NorthAmerica"""
6331,"""Primus Peak""",2593,83.69%,19079,"""Washington,UnitedStates,NorthAmerica"""
6332,"""Hochjoch - Giogo Alto""",2593,78.27%,4115,"""AltoAdige,Italy,Europe"""
6333,"""Hoher Mann""",2593,73.92%,4392,"""Italy,Europe"""
6334,"""Grosser Hundstod""",2593,89.77%,12689,"""LandSalzburg/UpperBavaria,Austria/Germany,Europe"""
6335,"""Wilson Peak (NV) Elko county""",2593,84%,5239,"""Nevada,UnitedStates,NorthAmerica"""
6336,"""Orevada View""",2593,87.31%,8032,"""Nevada,UnitedStates,NorthAmerica"""
6337,"""Entin Peak - Olympic Valley""",2593,83.1%,9059,"""California,UnitedStates,NorthAmerica"""
6338,"""Middle Hawkins""",2592,80.92%,10180,"""California,UnitedStates,NorthAmerica"""
6339,"""Wright Mountain""",2592,81.17%,17554,"""California,UnitedStates,NorthAmerica"""
6340,"""West Oregon Butte""",2592,85.36%,4089,"""Wyoming,UnitedStates,NorthAmerica"""
6341,"""Dark Peak""",2592,84.27%,18524,"""Washington,UnitedStates,NorthAmerica"""
6342,"""Mox Peaks (Twin Spires)""",2592,71.34%,15063,"""Washington,UnitedStates,NorthAmerica"""
6343,"""Nyangani""",2592,70.36%,1201,"""Zimbabwe,Africa"""
6344,"""Gmeineck""",2592,79.24%,7178,"""Kaernten,Austria,Europe"""
6345,"""Ra Gusela""",2592,96.87%,14214,"""Italy,Europe"""
6346,"""Putukusi""",2592,74.92%,16679,"""Cuzco,Peru,SouthAmerica"""
6347,"""Hochvogel""",2592,78.27%,2155,"""Tirol/Bayern,Austria,Germany,Europe"""
6348,"""Zwoelferspitz""",2592,84.82%,6465,"""CarnicAlps,Austria,Europe"""
6349,"""Gran Cir / Grosse Cirspitze""",2592,87.31%,12432,"""Dolomites,Italy,Europe"""
6350,"""Lone Walker Mountain (GNP)""",2591,85.87%,7343,"""Montana,UnitedStates,NorthAmerica"""
6351,"""Eggenkofel""",2591,83.69%,9057,"""LienzDolomites,Austria,Europe"""
6352,"""Cashmere Mountain""",2591,84.03%,60290,"""Washington,UnitedStates,NorthAmerica"""
6353,"""Terza Grande""",2591,92.04%,9972,"""Belluno,Italy,Europe"""
6354,"""Almanzor""",2591,95.18%,33856,"""Avila,Spain,Europe"""
6355,"""Kreuzkarspitze""",2591,81.84%,4446,"""Tirol,Austria,Europe"""
6356,"""Poland Hill (Rat Brain)""",2591,80.49%,1891,"""Wyoming,UnitedStates,NorthAmerica"""
6357,"""Friction Tower (Crystal Freeway)""",2591,79.78%,1521,"""Wyoming,UnitedStates,NorthAmerica"""
6358,"""Mount Watkins""",2591,85.87%,26186,"""California,UnitedStates,NorthAmerica"""
6359,"""Dolkova spica""",2591,85.34%,13607,"""JulianAlps,Slovenia,Europe"""
6360,"""Mormon Mountain""",2591,83.56%,14269,"""Arizona,UnitedStates,NorthAmerica"""
6361,"""Western Front""",2591,95.97%,5947,"""California,UnitedStates,NorthAmerica"""
6362,"""Mineral Hill""",2591,85.36%,3024,"""Idaho,UnitedStates,NorthAmerica"""
6363,"""Buck Rock""",2591,80.79%,18567,"""California,UnitedStates,NorthAmerica"""
6364,"""Devil's Eye""",2591,75.81%,10540,"""Utah,UnitedStates,NorthAmerica"""
6365,"""Demut / La Mutta""",2591,84.27%,7267,"""CarnicAlps,Austria/Italy,Europe"""
6366,"""Pedra Furada""",2590,73.06%,4510,"""Itamonte,Brazil,SouthAmerica"""
6367,"""Mount Rundle (east end)""",2590,89.26%,21683,"""Alberta,Canada,NorthAmerica"""
6368,"""Getrumspitze / Cima Gethruna""",2589,79.04%,4001,"""Südtirol/AltoAdige,Italy,Europe"""
6369,"""Massena Northwest Peak""",2589,81.84%,4222,"""MinasGerais,Brazil,SouthAmerica"""
6370,"""Porze / Cima Palombino""",2589,86.85%,9101,"""CarnicAlps,Austria,Italy,Europe"""
6371,"""Telfer Weissen / Cime Bianche di Telves""",2588,81.18%,7199,"""SÃ¼dtirol/AltoAdige,Italy,Europe"""
6372,"""Rotschrofenspitze""",2588,80.49%,5116,"""Tirol,Austria,Europe"""
6373,"""Breitgrieskarspitze""",2588,78.27%,3376,"""Tirol,Austria,Europe"""
6374,"""Ingham Peak (UT)""",2588,79.04%,6940,"""Utah,UnitedStates,NorthAmerica"""
6375,"""Burger Butte""",2587,77.48%,6791,"""Oregon,UnitedStates,NorthAmerica"""
6376,"""Visoki Kanin / Monte Canin""",2587,88.19%,32023,"""JulianAlps,Italy/Slovenia,Europe"""
6377,"""Engeler Peak""",2586,86.85%,8732,"""Nevada,UnitedStates,NorthAmerica"""
6378,"""Klawatti Peak""",2586,84.82%,26066,"""Washington,UnitedStates,NorthAmerica"""
6379,"""Coal Creek Peak""",2586,82.18%,13850,"""Colorado,UnitedStates,NorthAmerica"""
6380,"""Frost Benchmark""",2586,72.08%,4821,"""California,UnitedStates,NorthAmerica"""
6381,"""Rincon Peak""",2585,87.31%,32104,"""Arizona,UnitedStates,NorthAmerica"""
6382,"""Morro da Antena""",2585,81.18%,5205,"""MinasGerais,Brazil,SouthAmerica"""
6383,"""Horseshoe Peak""",2585,81.18%,18641,"""Washington,UnitedStates,NorthAmerica"""
6384,"""Mount Rahm""",2585,84.82%,17621,"""Washington,UnitedStates,NorthAmerica"""
6385,"""Granite Mountain, Idaho""",2584,86.85%,16507,"""Idaho,UnitedStates,NorthAmerica"""
6386,"""Tête de la Tronche""",2584,86.85%,4128,"""AostaValleyCourmayeurMunicipality,Italy,Europe"""
6387,"""Tesourinho Peak""",2584,83.1%,2931,"""AltoCaparao,Brazil,SouthAmerica"""
6388,"""Torre Tonda or Tour Ronde""",2583,86.37%,3938,"""AostaValley,Italy,Europe"""
6389,"""Ärmighorn SW-Vorgipfel""",2583,81.18%,8201,"""BernerOberland,Switzerland,Europe"""
6390,"""Laliderer Spitze""",2583,79.24%,12264,"""Tyrol,Austria,Europe"""
6391,"""Punta Allochet""",2582,85.87%,5931,"""Trentino,Italy,Europe"""
6392,"""The Craggies""",2582,87.31%,23749,"""Washington,UnitedStates,NorthAmerica"""
6393,"""Kassianspitze / Cima San Cassiano""",2581,83.1%,4019,"""Südtirol/AltoAdige,Italy,Europe"""
6394,"""Crìdola""",2581,90.13%,12393,"""Belluno,Italy,Europe"""
6395,"""Mill Point""",2581,82.48%,8204,"""Montana,UnitedStates,NorthAmerica"""
6396,"""Hollbrucker Spitze""",2581,81.84%,7202,"""CarnicAlps,Austria/Italy,Europe"""
6397,"""Grosser Ifinger""",2581,72.08%,7379,"""SüdTirol,Italy,Europe"""
6398,"""Testa di Entrelor""",2580,89.39%,7331,"""AostaValley,Italy,Europe"""
6399,"""Hochspitz / Monte Vancomun""",2580,81.18%,5113,"""Austria,Italy,Europe"""
6400,"""Tenailles de Montbrison""",2580,85.75%,4018,"""Briançonnais,France,Europe"""
6401,"""Hoodoo Peak""",2580,85.87%,15092,"""Washington,UnitedStates,NorthAmerica"""
6402,"""Lost Peak""",2580,76.23%,14549,"""Washington,UnitedStates,NorthAmerica"""
6403,"""Saint Peters Dome""",2580,74.92%,14157,"""NewMexico,UnitedStates,NorthAmerica"""
6404,"""Murtaröl""",2579,79.04%,1724,"""Grischun/Graubünden/Grisons,"""
6405,"""Tällistock""",2579,85.87%,5235,"""BernerOberland,Switzerland,Europe"""
6406,"""Utopia Mountain""",2579,81.18%,7653,"""Alberta,Canada,NorthAmerica"""
6407,"""Corrugate Ridge""",2579,84.82%,5784,"""Montana,UnitedStates,NorthAmerica"""
6408,"""Bear Peak""",2579,91.13%,94505,"""Colorado,UnitedStates,NorthAmerica"""
6409,"""Turtle Rock""",2579,83.69%,15295,"""Colorado,UnitedStates,NorthAmerica"""
6410,"""Tunnel Springs Peak (UT)""",2579,91.75%,11313,"""Utah,UnitedStates,NorthAmerica"""
6411,"""Glen Dome""",2579,78.27%,1889,"""Wyoming,UnitedStates,NorthAmerica"""
6412,"""Chiwawa Mountain""",2578,91.97%,25025,"""Washington,UnitedStates,NorthAmerica"""
6413,"""Last Chance Mountain""",2578,88.19%,19970,"""California,UnitedStates,NorthAmerica"""
6414,"""Argonaut Peak""",2578,88.13%,39676,"""Washington,UnitedStates,NorthAmerica"""
6415,"""Crane Mountain (OR)""",2577,91.37%,20208,"""Oregon,UnitedStates,NorthAmerica"""
6416,"""Owens Peak""",2576,88.6%,35652,"""California,UnitedStates,NorthAmerica"""
6417,"""Pika Peak""",2576,0%,1529,"""Montana,UnitedStates,NorthAmerica"""
6418,"""Roque de la Grieta""",2576,79.78%,2653,"""Tenerife,Spain,Africa,Europe"""
6419,"""Window Mountain""",2576,81.84%,15674,"""Alberta,Canada,NorthAmerica"""
6420,"""Sheep Mountain""",2576,79.76%,12504,"""Colorado,UnitedStates,NorthAmerica"""
6421,"""Sonntagkarspitze""",2575,77.48%,5217,"""Tirol,Austria,Europe"""
6422,"""Nuvolau""",2575,90.81%,13075,"""Italy,Europe"""
6423,"""Anayet""",2575,83.1%,15200,"""Huesca,Spain,Europe"""
6424,"""Blauspitze""",2575,79.64%,7318,"""Austria,Europe"""
6425,"""Opal Ridge""",2575,82.94%,15204,"""Alberta,Canada,NorthAmerica"""
6426,"""Saddle Benchmark Peak (NV)""",2574,83.69%,2168,"""Nevada,UnitedStates,NorthAmerica"""
6427,"""Baldy Peak (Organ Mountains)""",2574,73.6%,11018,"""NewMexico,UnitedStates,NorthAmerica"""
6428,"""Medicine Peak (GNP)""",2574,87.31%,6673,"""Montana,UnitedStates,NorthAmerica"""
6429,"""Großer Gabler / Monte Forca Grande""",2574,86.85%,10949,"""Südtirol/AltoAdige,Italy,Europe"""
6430,"""Hinter Grauspitz (Schwarzhorn)""",2574,84.8%,16390,"""Graubunden,Liechtenstein,Switzerland,Europe"""
6431,"""Tower Mountain""",2574,93.04%,33186,"""Washington,UnitedStates,NorthAmerica"""
6432,"""East Buttress (Frazier Cirque)""",2574,77.48%,917,"""Montana,UnitedStates,NorthAmerica"""
6433,"""Verdi Peak and Ladybug Peak""",2574,74.92%,15518,"""California,UnitedStates,NorthAmerica"""
6434,"""Tinkham Mountain""",2573,90.48%,10703,"""Montana,UnitedStates,NorthAmerica"""
6435,"""Hochglück""",2573,86.37%,4607,"""Tirol,Austria,Europe"""
6436,"""Bighorn Peak""",2573,81.32%,22516,"""California,UnitedStates,NorthAmerica"""
6437,"""""Pine Hollow Peak"" (UT)""",2573,75.81%,9611,"""Utah,UnitedStates,NorthAmerica"""
6438,"""Suzuki Boulders""",2573,80.89%,4629,"""Colorado,UnitedStates,NorthAmerica"""
6439,"""Mount Bigelow""",2573,77.19%,23095,"""Washington,UnitedStates,NorthAmerica"""
6440,"""Chicken Peak""",2573,70.83%,696,"""Idaho,UnitedStates,NorthAmerica"""
6441,"""Little Annapurna""",2573,95.8%,64663,"""Washington,UnitedStates,NorthAmerica"""
6442,"""Sinister Peak""",2573,73.59%,12296,"""Washington,UnitedStates,NorthAmerica"""
6443,"""Dorado Needle""",2573,77.48%,20707,"""Washington,UnitedStates,NorthAmerica"""
6444,"""Piute Peak""",2573,83.69%,28168,"""California,UnitedStates,NorthAmerica"""
6445,"""Sulzspitze / Cima Sulz""",2572,83.69%,5740,"""S,Italy,Europe"""
6446,"""La Moleta""",2572,82.48%,3513,"""Huesca,Spain,Europe"""
6447,"""Serra Negra Peak""",2572,82.48%,3299,"""MinasGerais,Brazil,SouthAmerica"""
6448,"""Stevens BM (UT)""",2571,89.39%,6236,"""Utah,UnitedStates,NorthAmerica"""
6449,"""Swiftcurrent Mountain""",2571,87.2%,20410,"""Montana,UnitedStates,NorthAmerica"""
6450,"""Blankenhorn / Corno Bianco""",2571,82.48%,3842,"""Südtirol/AltoAdige,Italy,Europe"""
6451,"""Tschuggen""",2571,79.04%,8369,"""Bern,Switzerland,Europe"""
6452,"""Crode dei Longerìn""",2571,89.39%,7206,"""Belluno,Italy,Europe"""
6453,"""Fortification Range HP (NV)""",2571,84.27%,5934,"""Nevada,UnitedStates,NorthAmerica"""
6454,"""Naafkopf""",2570,88.91%,9794,"""Vorarlberg,Schaan,Graubünden,Austria,Liechtenstein,Switzerland,Europe"""
6455,"""Maja Radohines""",2570,84.82%,10824,"""PROKLETIJE,Albania,Europe"""
6456,"""Hohe Fürleg""",2570,74.92%,623,"""Tirol,Austria,Europe"""
6457,"""Falso Tesourinho Peak""",2570,83.55%,2132,"""MinasGerais/EspiritoSanto,Brazil,SouthAmerica"""
6458,"""Continental Peak""",2570,87.76%,9161,"""Wyoming,UnitedStates,NorthAmerica"""
6459,"""Heavens Gate""",2569,88.19%,15454,"""Idaho,UnitedStates,NorthAmerica"""
6460,"""Williams Butte""",2569,83.69%,7166,"""California,UnitedStates,NorthAmerica"""
6461,"""Pleisenspitze""",2569,83.1%,7775,"""Tyrol,Austria,Europe"""
6462,"""Maja Popluks""",2569,86.37%,13299,"""PROKLETIJE,Albania,Europe"""
6463,"""Frog Lake Peak""",2569,75.81%,7803,"""California,UnitedStates,NorthAmerica"""
6464,"""Silver Peak-West Peak""",2568,76.66%,3487,"""California,UnitedStates,NorthAmerica"""
6465,"""Kleine Laserzwand""",2568,72.08%,3571,"""OstTirol,Austria,Europe"""
6466,"""Pico Tesorero""",2568,82.8%,8460,"""Asturias/Cantabria/León,Spain,Europe"""
6467,"""Kanjavec""",2568,90.81%,23283,"""JulianAlps,Slovenia,Europe"""
6468,"""Saddle Mountain""",2568,75.81%,5821,"""Arizona,UnitedStates,NorthAmerica"""
6469,"""Silver Peak""",2568,81.17%,19157,"""California,UnitedStates,NorthAmerica"""
6470,"""Mount Watson""",2568,78.04%,16970,"""California,UnitedStates,NorthAmerica"""
6471,"""Emerald Peak""",2567,79.04%,17379,"""Washington,UnitedStates,NorthAmerica"""
6472,"""Maja Briaset""",2567,83.1%,10706,"""PROKLETIJE,Albania,Europe"""
6473,"""Maurerkopf / Monte Muro""",2567,81.18%,4770,"""Südtirol/AltoAdige,Italy,Europe"""
6474,"""Dumbell Mountain""",2567,75.36%,22068,"""Washington,UnitedStates,NorthAmerica"""
6475,"""Tres Piedras Crags""",2566,86.37%,15359,"""NewMexico,UnitedStates,NorthAmerica"""
6476,"""West Pueblo Ridge""",2566,89.77%,10777,"""Oregon,UnitedStates,NorthAmerica"""
6477,"""Mt. Baldwin""",2566,0%,607,"""Alaska,UnitedStates,NorthAmerica"""
6478,"""Indian Peaks (UT)""",2566,89.39%,12677,"""Utah,UnitedStates,NorthAmerica"""
6479,"""The Nautilus""",2566,88.19%,3697,"""UnitedStates,NorthAmerica"""
6480,"""Granite Mountain (NV) Pershing""",2566,83.69%,4394,"""Nevada,UnitedStates,NorthAmerica"""
6481,"""Ruitelspitzen""",2566,83.1%,3508,"""Tirol,Austria,Europe"""
6482,"""Melano Peak""",2566,84.82%,2478,"""PassaQuatro/MG,Brazil,SouthAmerica"""
6483,"""Lobhörner""",2566,83.1%,15397,"""BernerOberland,Switzerland,Europe"""
6484,"""Hualapai Peak""",2566,86.59%,43127,"""Arizona,UnitedStates,NorthAmerica"""
6485,"""Teton Peak""",2565,83.69%,9937,"""Montana,UnitedStates,NorthAmerica"""
6486,"""Walderkampspitze""",2565,74.01%,629,"""Tirol,Austria,Europe"""
6487,"""Greenwood Mountain""",2565,80.49%,10629,"""Washington,UnitedStates,NorthAmerica"""
6488,"""Doi Inthanon, Thailand""",2565,80.48%,17245,"""ChiangMaiProvince,Thailand,Asia"""
6489,"""Triangle Mountain (RNF)""",2565,79.78%,12047,"""Colorado,UnitedStates,NorthAmerica"""
6490,"""Guthrie Peak""",2564,80.17%,3476,"""Montana,UnitedStates,NorthAmerica"""
6491,"""La Galana""",2564,77.48%,4666,"""Avila,Spain,Europe"""
6492,"""Schlern / Sciliar""",2564,89.01%,21190,"""Südtirol/AltoAdige,Italy,Europe"""
6493,"""Monte Camicia""",2564,83.69%,12200,"""Abruzzo,Italy,Europe"""
6494,"""Griffin Butte""",2564,81.84%,7694,"""Idaho,UnitedStates,NorthAmerica"""
6495,"""Bass Creek Crags""",2564,88.19%,11423,"""Montana,UnitedStates,NorthAmerica"""
6496,"""Huachuca Peak""",2563,76.93%,7522,"""Arizona,UnitedStates,NorthAmerica"""
6497,"""The Fin""",2563,83.1%,10366,"""California,UnitedStates,NorthAmerica"""
6498,"""Endebess Bluff""",2563,0%,1295,"""Kenya,Africa"""
6499,"""Cain Mountain""",2563,75.41%,5833,"""Nevada,UnitedStates,NorthAmerica"""
6500,"""Tellerjochspitze / Montello""",2563,79.78%,3300,"""Südtirol/AltoAdige,Italy,Europe"""
6501,"""Col del Cuc""",2563,83.1%,3090,"""Südtirol/AltoAdige-Veneto,Italy,Italy,Europe"""
6502,"""Cookes Peak""",2563,81.72%,30865,"""NewMexico,UnitedStates,NorthAmerica"""
6503,"""Deer Peak""",2563,70.59%,1792,"""Utah,Utah,UnitedStates,NorthAmerica"""
6504,"""Drake Peak""",2562,80.49%,18124,"""Oregon,UnitedStates,NorthAmerica"""
6505,"""Bearhead Mountain""",2562,75.81%,3359,"""Montana,UnitedStates,NorthAmerica"""
6506,"""Capu Biancu""",2562,71.85%,2419,"""Corse,France,Europe"""
6507,"""Elephant Butte""",2562,85.35%,23749,"""Colorado,UnitedStates,NorthAmerica"""
6508,"""Sheep Hill""",2562,92.85%,7551,"""Idaho,UnitedStates,NorthAmerica"""
6509,"""Wynn Mountain""",2562,77.48%,6190,"""Montana,UnitedStates,NorthAmerica"""
