No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
177,"""Caraz II""",6020,82.16%,22078,"""CordilleraBlanca,Peru,SouthAmerica"""
178,"""Uturuncu""",6020,79.77%,18094,"""Bolivia,SouthAmerica"""
179,"""Cerro de San Francisco""",6018,83.41%,16373,"""Copiapó,(Chile)/Catamarca(Argentina),Argentina,Chile,SouthAmerica"""
180,"""Rasac""",6017,79.04%,10205,"""Peru,SouthAmerica"""
181,"""Igls Peak""",6014,79.78%,3619,"""Hunza,Pakistan,Asia"""
182,"""Cerro Laguna Blanca""",6012,78.27%,6161,"""Catamarca,Argentina,SouthAmerica"""
183,"""Mitre Peak""",6010,93.81%,31926,"""Baltistan,Pakistan,Asia"""
184,"""Pik Korzhenevskovo""",6008,83.5%,15725,"""Pamiro-Alaj,Kyrgyzstan,Asia"""
185,"""Sairecabur volcano""",6006,84.13%,14608,"""SanPedrodeAtacama,Chile,SouthAmerica"""
186,"""Mount Thelu""",6005,78.59%,15557,"""Uttaranchal,India,Asia"""
187,"""Pico Polaco""",6001,76.34%,11321,"""SanJuan,Argentina,SouthAmerica"""
188,"""Alto Toroni""",5995,72.19%,2800,"""Tarapaca,Bolivia,SouthAmerica"""
189,"""Shaltar Peak""",5982,82.37%,4172,"""NorthernArea,Pakistan,Asia"""
190,"""Tocllaraju""",5980,95.18%,74299,"""Ancash,Peru,SouthAmerica"""
191,"""Volcán Sabancaya""",5976,89.77%,12943,"""Arequipa,Peru,SouthAmerica"""
192,"""Cerro Plata""",5966,90.21%,37695,"""Mendoza,Argentina,SouthAmerica"""
193,"""Yazghil Sar""",5964,85.77%,14745,"""NorthernAreas,Pakistan,Asia"""
194,"""Licancabur""",5960,91.96%,32220,"""Bolivia,SouthAmerica"""
195,"""Logan MASSIF""",5959,94.35%,85930,"""YukonTerritory,Canada,NorthAmerica"""
196,"""Satsum Kang""",5951,90.48%,4637,"""Xinjiang,China,Asia"""
197,"""Nevado de Acay""",5950,76.42%,10553,"""Salta,Argentina,SouthAmerica"""
198,"""Peak 5950""",5950,96.75%,17646,"""Nepal,Asia"""
199,"""Nevado de Chani""",5949,74.92%,8120,"""Jujuy,Argentina,SouthAmerica"""
200,"""Alpamayo""",5947,99.03%,145923,"""Ancash,Peru,SouthAmerica"""
201,"""Bonete Grande""",5935,85.36%,13060,"""LaRioja,Argentina,SouthAmerica"""
202,"""Cerro Mulas Muertas""",5910,81.84%,5780,"""Chile,SouthAmerica"""
203,"""Koh-e-Brobar (Equality Peak)""",5907,72.08%,853,"""Gilgit-Baltistan,Pakistan,Asia"""
204,"""Callejón Cañapa""",5900,87.76%,5910,"""Bolivia,SouthAmerica"""
205,"""Cotopaxi""",5897,99.69%,263241,"""Cotopaxi,Ecuador,SouthAmerica"""
206,"""Kilimanjaro""",5895,99.49%,184589,"""Tanzania,Africa"""
207,"""Ocshapalca""",5881,77.98%,19320,"""CordilleraBlanca,ChincheyMassif,Peru,SouthAmerica"""
208,"""Pute Tower III""",5870,82.48%,5143,"""NorthernAreas,Pakistan,Asia"""
209,"""Dos Conos""",5865,77.76%,7799,"""Catamarca(Argentina)/Copiapó(Chile),Argentina,SouthAmerica"""
210,"""Ollague volcano""",5865,86.24%,19286,"""Uyuni/RegiondeAntofagasta,Bolivia/Chile,SouthAmerica"""
211,"""Ameghino""",5860,88.61%,18284,"""Mendoza,Argentina,SouthAmerica"""
212,"""San José volcano""",5856,82.29%,23264,"""Mendoza/RegióndeMetropolitana,Argentina/Chile,SouthAmerica"""
213,"""Naya Kanga""",5846,82.48%,19498,"""Langtang,Nepal,Asia"""
214,"""Pik Voenno Morskogo Flota""",5842,82.48%,12077,"""Pamir-Alaj,Kyrgyzstan/Tajikistan,Asia"""
215,"""Taulliraju""",5840,85.36%,28185,"""Ancash(CordilleraBlanca),Peru,SouthAmerica"""
216,"""Altun Shan 阿尔金山""",5830,69.02%,3957,"""Gansu,China,Asia"""
217,"""Cerro Tomasamil""",5830,84.82%,5746,"""Bolivia,SouthAmerica"""
218,"""Pico Plata""",5827,83.69%,12152,"""Mendoza,Argentina,SouthAmerica"""
219,"""Urkema Peak / Baden Powell Peak""",5825,76.65%,10248,"""Nepal,Asia"""
220,"""El Misti""",5822,91.61%,99579,"""Arequipa,Peru,SouthAmerica"""
221,"""Haizi Shan (Zhara)""",5820,78.91%,17635,"""SichuanProvince,China,Asia"""
222,"""Vulkan/Ka-er-daxi""",5810,84.82%,11908,"""Xinjiang,China,Asia"""
223,"""Pokalde""",5806,83.6%,24714,"""EverestRegion,Nepal,Asia"""
224,"""Amin Brakk (Great Tower)""",5800,87.08%,20100,"""NangmaValley-Baltistan,NorthernAreas,Pakistan,Asia"""
225,"""Cayambe""",5790,91.72%,62595,"""Ecuador,SouthAmerica"""
226,"""Haigutum East""",5783,85.36%,9234,"""NorthernAreas,Pakistan,Asia"""
227,"""Chiliques volcano""",5778,85.36%,7812,"""Chile,SouthAmerica"""
228,"""Nanga Sago""",5776,72.47%,6423,"""Ladakh,India,Asia"""
229,"""Volcán Antisana""",5758,89.05%,39557,"""Ecuador,SouthAmerica"""
230,"""Pisco Oeste (Western Pisco)""",5752,93.4%,66594,"""CordilleraBlanca,Peru,SouthAmerica"""
231,"""Uruashraju""",5722,90.04%,7089,"""Ancash,Peru,SouthAmerica"""
232,"""Juriques volcano""",5704,85.87%,11846,"""SanPedrodeAtacama,Bolivia,Chile,SouthAmerica"""
233,"""Shaqsha""",5703,76.64%,7184,"""Peru,SouthAmerica"""
234,"""Long Gorge (Lara Peak, Chang-gou)""",5700,81.05%,8120,"""SichuanProvince,Asia"""
235,"""Pirámide de Garcilazo Norte""",5700,77.99%,19068,"""Ancash(CordilleraBlanca),Peru,SouthAmerica"""
236,"""Mount Abi""",5694,79.04%,9236,"""Sichuan,China,Asia"""
237,"""Vallunaraju""",5686,89.99%,51114,"""Peru,SouthAmerica"""
238,"""Volcán Ubinas""",5672,94.82%,12639,"""Peru,SouthAmerica"""
239,"""Paron Grande""",5670,76.66%,5385,"""Ancash,Peru,SouthAmerica"""
240,"""Lop Zarth - The Big Yellow (5668m)""",5668,77.75%,1487,"""Pakistan,Asia"""
241,"""Fattening Sheep Plateau (Yangmantai)""",5666,86.69%,15230,"""SichuanProvince,China,Asia"""
242,"""Tharpu Chuli""",5663,88.19%,18623,"""Annapurna,Nepal,Asia"""
243,"""Gondoro (Ghondogoro) Peak""",5650,74.01%,3539,"""Gilgit-Baltistan,Pakistan,Asia"""
244,"""Cabeza de Condor (Condoriri Group)""",5648,89.38%,31531,"""CordilleraReal,Bolivia,SouthAmerica"""
245,"""Kala Pataar""",5643,93.1%,25638,"""Nepal,Asia"""
246,"""Mount Elbrus""",5643,99.94%,264265,"""MineralinyeVody,Russia,Europe"""
247,"""Rupal Peak""",5642,86%,22686,"""Diamir,Pakistan,Asia"""
